MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
4212,T15MC0014B,28/01/2015,CT HUB,Active,2 KALLANG AVENUE SINGAPORE 339407,"2 KALLANG AVENUE
#01-K4 CT HUB
 SINGAPORE 339407",65383592,Savills Property Management Pte Ltd,65383592
4213,T15MC0020A,11/02/2015,SILVERSEA,Active,50 MARINE PARADE ROAD SINGAPORE 449307,"50 MARINE PARADE ROAD
#01-16 SILVERSEA
 SINGAPORE 449307",67026380,Savills Property Management Pte Ltd,6736 8183
4214,T15MC0030F,03/06/2015,TREESCAPE,Active,103 LORONG N TELOK KURAU SINGAPORE 425259,"103 LORONG N TELOK KURAU
TREESCAPE
 SINGAPORE 425259",98626245,Chambers Property Management Services Pte Ltd,98626245
4215,T15MC0110J,29/09/2015,RV RESIDENCES,Active,471 RIVER VALLEY ROAD SINGAPORE 248356,"465 RIVER VALLEY ROAD
#B1-01 RV RESIDENCES 
 SINGAPORE 248350",67343658,Knight Frank Property Asset Management Pte Ltd,68485678
4216,T15MC0048A,25/05/2015,ARC@TAMPINES,Active,3 TAMPINES AVENUE 8 SINGAPORE 529605,"23 TAMPINES AVENUE 8
#07-45 ARC@TAMPINES
 SINGAPORE 529605",67831246,Chambers Property Management Services Pte Ltd,6468 5100
4217,T15MC0066H,29/06/2015,SOPHIA RESIDENCE,Active,5 SOPHIA ROAD SINGAPORE 228191,"13 SOPHIA ROAD
#B1-32 SOPHIA RESIDENCE
 SINGAPORE 228195",6336 9244,Newman & Goh Property Consultants Pte Ltd,62569333
4218,T15MC0015J,04/02/2015,THE CONCOURSE / CONCOURSE SKYLINE,Active,296 BEACH ROAD SINGAPORE 199599,"296 BEACH ROAD
#05-01 THE CONCOURSE & CONCOURSE SKYLINE
 SINGAPORE 199599",6291 0257,Smart Property Management (Singapore) Pte Ltd,62230169
4219,T15MC0031B,18/03/2015,CYAN,Active,4 KENG CHIN ROAD SINGAPORE 258707,"6 KENG CHIN ROAD
#B1-01 CYAN 
 SINGAPORE 258709",6235 2939,Colliers International Consultancy & Valuation (S) Pte Ltd,62352939
4220,T15MC0074K,09/07/2015,THE MKZ,Active,131 MACKENZIE ROAD SINGAPORE 228714,"131 MACKENZIE ROAD
#01-02 THE MKZ
 SINGAPORE 228714",63452117,Total Estate Management Services Pte Ltd,63452117
4221,T15MC0071L,08/07/2015,STELLAR RV,Active,408 RIVER VALLEY ROAD SINGAPORE 248306,"408 RIVER VALLEY ROAD
STELLAR RV
 SINGAPORE 248306",65333375,Rhodo Strata Management Services Pte Ltd,65333375
4222,T15MC0027F,17/02/2015,CENTRA RESIDENCE,Active,8 LORONG 7 GEYLANG SINGAPORE 388792,"8 LORONG 7 GEYLANG
CENTRA RESIDENCE
 SINGAPORE 388792",62747305,Camrie Project and Estate Management,62747305
4223,T15MC0067D,30/06/2015,WATERCOLOURS EXECUTIVE CONDOMINIUM,Active,31 PASIR RIS LINK SINGAPORE 518153,"35 PASIR RIS LINK
#B1-35 WATERCOLOURS EXECUTIVE CONDOMINIUM
 SINGAPORE 518155",65810373,IK Estate Management Pte Ltd,65810373
4224,T15MC0076B,13/07/2015,ROBINSON SQUARE,Active,144 ROBINSON ROAD SINGAPORE 068908,"144 ROBINSON ROAD
#01-04 ROBINSON SQUARE
 SINGAPORE 068908",98557080,Ocean IFM Pte Ltd,98557080
4225,T15MC0107J,22/09/2015,91 MARSHALL,Active,91 MARSHALL ROAD SINGAPORE 424887,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874",67322220,Sierra Asset Management Pte Ltd,67322220
4227,T16MC0013L,26/01/2016,Bizhub 28,Active,28 SENANG CRESCENT SINGAPORE 416601,"28 SENANG CRESCENT
#01-02 BIZHUB 28
 SINGAPORE 416601",63850781,Chambers Property Management Services Pte Ltd,64685100
4228,T15MC0032J,23/03/2015,THE VISION,Active,51 WEST COAST CRESCENT SINGAPORE 128051,"79 WEST COAST CRESCENT
#01-01 THE VISION
 SINGAPORE 126793",63699539,Smart Property Management (Singapore) Pte Ltd,62230169
4229,T15MC0056C,10/06/2015,RIVERBAY,Active,23 MAR THOMA ROAD SINGAPORE 328704,"23 MAR THOMA ROAD
#01-01 RIVERBAY
 SINGAPORE 328704",62911512,Knight Frank Property Asset Management Pte Ltd,68485678
4231,T15MC0109A,28/09/2015,HEDGES PARK CONDOMINIUM,Active,71 FLORA DRIVE SINGAPORE 506881,"91 FLORA DRIVE
#02-74 HEDGES PARK CONDOMINIUM
 SINGAPORE 506891",6587 4409,RealtyLink Consultancy Pte Ltd,6337 5277
4232,T15MC0132L,21/12/2015,M66,Active,64 MOONSTONE LANE SINGAPORE 328489,"64 MOONSTONE LANE
M66
 SINGAPORE 328489",64411184,A4 International Pte Ltd,64411184
4233,T15MC0112A,30/09/2015,IMPERIAL RESIDENCES,Active,28 LORONG 26 GEYLANG SINGAPORE 398495,"28 LORONG 26 GEYLANG
IMPERIAL RESIDENCES
 SINGAPORE 398495",63452117,Total Estate Management Services Pte Ltd,63452117
4234,T15MC0064E,23/06/2015,CENTROPOD@CHANGI,Active,80 CHANGI ROAD SINGAPORE 419715,"80 CHANGI ROAD
#01-44 CENTROPOD@CHANGI
 SINGAPORE 419715",90101982,Colliers International Singapore Pte Ltd,90101982
4235,T15MC0036D,06/04/2015,WATERFRONT GOLD,Active,750 BEDOK RESERVOIR ROAD SINGAPORE 479256,"750 BEDOK RESERVOIR ROAD
#B1-26 WATERFRONT GOLD
 SINGAPORE 479256",64478806,Exceltec Property Management Pte Ltd,64478806
4236,T15MC0078E,20/07/2015,LINK@AMK,Active,3 ANG MO KIO STREET 62 SINGAPORE 569139,"3 ANG MO KIO STREET 62
#01-67 LINK @ AMK
 SINGAPORE 569139",81888302,Outocoz Property Services Pte Ltd,64404600
4237,T15MC0084D,29/07/2015,,Active,34 LORONG 30 GEYLANG SINGAPORE 398367,"34 LORONG 30 GEYLANG
#08-01 
 SINGAPORE 398367",67447397,,
4238,T15MC0034A,27/03/2015,Riverside Melodies,Active,26A ST. MICHAELS ROAD SINGAPORE 327995,"1014 GEYLANG EAST AVENUE 3
#02-186 RIVERSIDE MELODIES
 SINGAPORE 389729",6744 1083,The Lock Management Services Pte Ltd,6744 1083
4239,T15MC0040L,20/04/2015,ARK@GAMBAS,Active,,,6257 3411,Colliers International Consultancy & Valuation (S) Pte Ltd,6257 3411
4240,T15MC0087C,03/08/2015,NOVENA REGENCY,Active,275 THOMSON ROAD SINGAPORE 307645,"21 BUKIT BATOK CRESCENT
#26-80 WCEGA TOWER
 SINGAPORE 658065",64111660,Chambers Property Management Services Pte Ltd,93750912
4241,T15MC0054L,04/06/2015,OXLEY RESIDENCE,Active,,"51A OXLEY ROAD
OXLEY RESIDENCE
 SINGAPORE 238675",6384 7108,Knight Frank Property Asset Management Pte Ltd,63847108
4242,T15MC0069G,30/06/2015,HORIZON RESIDENCES,Active,41  PASIR PANJANG HILL SINGAPORE 118862,"41 PASIR PANJANG HILL
#B1-01 HORIZON RESIDENCES
 SINGAPORE 118862",6778 3225,Premier Property Consultancy Pte Ltd,67412885
